id,timestamp,statusSeverity,statusSeverityDescription
bakerloo,2019-12-10T22:51:50,10,Good Service
central,2019-12-10T22:51:50,10,Good Service
circle,2019-12-10T22:51:50,9,Minor Delays
district,2019-12-10T22:51:50,10,Good Service
hammersmith-city,2019-12-10T22:51:50,10,Good Service
jubilee,2019-12-10T22:51:50,10,Good Service
metropolitan,2019-12-10T22:51:50,10,Good Service
northern,2019-12-10T22:51:50,10,Good Service
piccadilly,2019-12-10T22:51:50,6,Severe Delays
victoria,2019-12-10T22:51:50,10,Good Service
waterloo-city,2019-12-10T22:51:50,10,Good Service
bakerloo,2019-12-15T10:51:50,10,Good Service
central,2019-12-15T10:51:50,10,Good Service
circle,2019-12-15T10:51:50,10,Good Service
district,2019-12-15T10:51:50,10,Good Service
hammersmith-city,2019-12-15T10:51:50,10,Good Service
jubilee,2019-12-15T10:51:50,10,Good Service
metropolitan,2019-12-15T10:51:50,10,Good Service
northern,2019-12-15T10:51:50,10,Good Service
piccadilly,2019-12-15T10:51:50,10,Good Service
victoria,2019-12-15T10:51:50,10,Good Service
waterloo-city,2019-12-15T10:51:50,10,Good Service
bakerloo,2019-12-11T18:51:51,10,Good Service
central,2019-12-11T18:51:51,10,Good Service
circle,2019-12-11T18:51:51,10,Good Service
district,2019-12-11T18:51:51,10,Good Service
hammersmith-city,2019-12-11T18:51:51,10,Good Service
jubilee,2019-12-11T18:51:51,10,Good Service
metropolitan,2019-12-11T18:51:51,10,Good Service
northern,2019-12-11T18:51:51,10,Good Service
piccadilly,2019-12-11T18:51:51,10,Good Service
victoria,2019-12-11T18:51:51,10,Good Service
waterloo-city,2019-12-11T18:51:51,10,Good Service
bakerloo,2019-12-10T08:51:50,9,Minor Delays
central,2019-12-10T08:51:50,10,Good Service
circle,2019-12-10T08:51:50,10,Good Service
district,2019-12-10T08:51:50,10,Good Service
hammersmith-city,2019-12-10T08:51:50,10,Good Service
jubilee,2019-12-10T08:51:50,9,Minor Delays
metropolitan,2019-12-10T08:51:50,10,Good Service
northern,2019-12-10T08:51:50,10,Good Service
piccadilly,2019-12-10T08:51:50,10,Good Service
victoria,2019-12-10T08:51:50,10,Good Service
waterloo-city,2019-12-10T08:51:50,10,Good Service
bakerloo,2019-12-14T22:51:51,10,Good Service
central,2019-12-14T22:51:51,9,Minor Delays
circle,2019-12-14T22:51:51,10,Good Service
district,2019-12-14T22:51:51,10,Good Service
hammersmith-city,2019-12-14T22:51:51,10,Good Service
jubilee,2019-12-14T22:51:51,10,Good Service
metropolitan,2019-12-14T22:51:51,10,Good Service
northern,2019-12-14T22:51:51,10,Good Service
piccadilly,2019-12-14T22:51:51,10,Good Service
victoria,2019-12-14T22:51:51,9,Minor Delays
waterloo-city,2019-12-14T22:51:51,10,Good Service
bakerloo,2019-12-17T10:51:50,10,Good Service
